,odid,display_name,od_name,production_year,running_time,sequel,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_office,name_length,source_category.fiction_tale_novel,source_category.music_dance,source_category.original_screenplay,source_category.others,source_category.play_TV_movie_film,source_category.real_factual,source_category.NA,production_companies_size.Big_15,production_companies_size.Extra_small,production_companies_size.Large,production_companies_size.Medium,production_companies_size.NULL,production_companies_size.Others,production_companies_size.Small,Rank.others.x,Rank.act_1000,Rank.act_250,Rank.act_500.x,Rank.act_750,genre.Action,genre.Adventure,genre.Comedy,genre.Concert/Performance,genre.Documentary,genre.Drama,genre.Horror,genre.Musical,genre.Others,genre.Thriller/Suspense,genre.Western,rating.G,rating.NC-17,rating.Not Rated,rating.Open,rating.PG,rating.PG-13,rating.R,Rank.others.y,Rank.dir_100,Rank.dir_20,Rank.dir_200,Rank.dir_500,Rank.dir_900,Rank.others
4799,91270100,Filth and Wisdom,Filth and Wisdom,2008,NA,0,4597,1,10,20,0,22406,0,26302,16,0,0,1,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4800,91280100,F*ck,F ck,2006,NA,0,5299,2,5,18,0,22359,0,28772,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4801,91290100,Words of My Perfect Teacher,Words of My Perfect Teacher,2006,NA,0,2300,3,3,11,0,20318,0,25669,27,0,0,0,0,0,1,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4802,91300100,The Elephant King,Elephant King The,2008,NA,0,15959,1,2,3,0,22251,0,26125,17,0,0,1,0,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4803,91320100,Shade,Shade,2004,NA,0,10696,1,6,8,6800000,25032,9508932,33973,5,0,0,0,0,0,0,1,0,1,1,0,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4804,91340100,Rails & Ties,Rails and Ties,2007,NA,0,11032,5,5,13,0,22136,0,27119,12,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,1
4805,91350100,Amu,Amu,2007,NA,0,0,0,2,1,0,22121,0,27102,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4806,91360100,In Search Of,In Search Of,2008,NA,0,12608,1,3,4,0,22094,0,25939,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4807,91370100,Cuba Feliz,Cuba Feliz,2002,NA,0,0,0,1,5,0,22071,0,32017,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4808,91380100,La Strada di Levi,Strada di Levi La,2007,NA,0,3151,1,1,4,0,22026,0,26984,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
4809,91390100,Great World of Sound,Great World of Sound,2007,NA,0,6129,2,4,16,0,22011,0,26968,20,0,0,1,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4810,91400100,Nowhere to Hide,Nowhere to Hide,2000,NA,0,6100,3,3,8,0,22007,0,33619,15,0,0,0,0,0,0,1,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
4811,91410100,Wedding Bell Blues,Wedding Bell Blues,1997,NA,0,22002,11,11,11,0,22002,0,40405,18,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1
